OPR_DATE,HOUR_ENDING,time_of_day,season,agg_hour,NG_COL_CAL,NG_NG_CAL,NG_NUC_CAL,NG_OIL_CAL,NG_WAT_CAL,NG_SUN_CAL,NG_WND_CAL,NG_OTH_CAL,LOADING_MW_ACTUAL_CAISO,LOADING_MW_ACTUAL_PGE,LOADING_MW_ACTUAL_SCE,LOADING_MW_ACTUAL_SDGE,LOADING_MW_FORECAST_CAISO,LOADING_MW_FORECAST_PGE,LOADING_MW_FORECAST_SCE,LOADING_MW_FORECAST_SDGE,GAS_PRICE_PGE,GAS_PRICE_SCE,DA_LMP_PGE_NP15
1/1/2020,1,night,winter,1,978,10294,2275,46,397,-25,289,747,21599,10206,9184,1997,21435,9509,9629,2073,4,7,33
1/1/2020,2,night,winter,2,771,10236,2272,91,304,-26,334,750,20879,9866,8876,1921,20588,9111,9268,1978,4,7,31
1/1/2020,3,night,winter,3,665,9321,2274,90,259,-27,654,749,20351,9605,8667,1861,19945,8846,8969,1902,4,7,32
1/1/2020,4,night,winter,4,651,8925,2274,91,207,-30,527,755,20064,9453,8563,1833,19578,8700,8789,1859,4,7,31
1/1/2020,5,night,winter,5,651,8498,2272,90,205,-29,823,756,20016,9389,8562,1847,19557,8722,8758,1846,4,7,31
1/1/2020,6,night,winter,6,658,8378,2271,90,207,-30,761,754,20342,9460,8749,1910,19951,8926,8903,1887,4,7,33
1/1/2020,7,morning,winter,7,655,8160,2272,58,227,-30,962,751,20734,9633,8900,1972,20693,9343,9104,2007,4,7,34
1/1/2020,8,morning,winter,8,656,8221,2271,46,338,154,523,754,20725,9818,8757,1919,20511,9476,8828,1979,4,7,33
1/1/2020,9,morning,winter,9,656,6700,2273,46,350,2820,881,753,20446,9903,8532,1786,20021,9324,8600,1887,4,7,29
1/1/2020,10,day,winter,10,657,6395,2272,46,351,6195,1018,749,19853,9693,8261,1689,19501,9161,8347,1795,4,7,24
1/1/2020,11,day,winter,11,656,5475,2273,56,290,7614,1013,746,19277,9484,7986,1603,19065,8954,8221,1700,4,7,21
1/1/2020,12,day,winter,12,656,5320,2275,62,286,7378,1626,744,18946,9349,7845,1552,18678,8723,8142,1628,4,7,19
1/1/2020,13,day,winter,13,654,5287,2272,83,276,7141,1853,737,18821,9308,7758,1561,18609,8658,8138,1639,4,7,17
1/1/2020,14,day,winter,14,653,5441,2272,46,273,5868,2704,739,19158,9498,7900,1575,18659,8575,8238,1677,4,7,14
1/1/2020,15,day,winter,15,653,5552,2273,91,282,7004,2469,743,20181,9997,8254,1745,19130,8728,8450,1785,4,7,18
1/1/2020,16,day,winter,16,654,6230,2270,92,290,5062,2937,742,21302,10423,8703,1987,20071,9190,8791,1912,4,7,26
1/1/2020,17,day,winter,17,654,6781,2271,90,348,1712,2863,740,22778,10783,9521,2277,21944,10111,9460,2178,4,7,34
1/1/2020,18,dusk,winter,18,654,7695,2272,91,594,80,2594,750,24688,11446,10524,2515,25049,11423,10842,2578,4,7,38
1/1/2020,19,dusk,winter,19,714,7956,2273,90,925,-25,2447,741,24972,11520,10722,2525,25508,11578,11094,2626,4,7,38
1/1/2020,20,dusk,winter,20,817,8005,2271,91,1024,-22,2864,757,24748,11444,10633,2465,25135,11351,11000,2568,4,7,37
1/1/2020,21,night,winter,21,685,8749,2273,90,881,-23,2738,760,24206,11256,10365,2378,24467,11026,10752,2473,4,7,37
1/1/2020,22,night,winter,22,651,8950,2275,90,660,-23,2762,758,23246,10773,10020,2251,23551,10579,10389,2373,4,7,35
1/1/2020,23,night,winter,23,651,8158,2273,45,558,-24,3037,750,21926,10166,9492,2077,22209,9930,9855,2213,4,7,32
1/1/2020,24,night,winter,24,651,7560,2274,91,211,-24,3002,749,20721,9628,8967,1923,20804,9281,9264,2046,4,7,30
1/2/2020,1,night,winter,25,651,7314,2272,91,174,-24,3195,747,19951,9345,8553,1849,19962,8707,9124,1935,4,7,29
1/2/2020,2,night,winter,26,651,6972,2270,90,150,-26,3031,753,19424,9063,8344,1812,19245,8359,8816,1869,4,7,30
1/2/2020,3,night,winter,27,651,6810,2272,90,186,-26,2054,753,19117,8908,8201,1801,18829,8194,8607,1825,4,7,28
1/2/2020,4,night,winter,28,654,7140,2275,91,188,-27,2218,750,19234,8969,8285,1772,18794,8208,8571,1814,4,7,30
1/2/2020,5,night,winter,29,655,7552,2272,90,189,-28,2239,751,19993,9245,8689,1849,19310,8401,8829,1875,4,7,30
1/2/2020,6,night,winter,30,654,7256,2276,90,203,-28,2326,754,21295,9690,9372,2019,20908,9084,9566,2045,4,7,35
1/2/2020,7,morning,winter,31,663,7789,2275,91,257,-29,2736,753,23122,10563,10142,2206,23515,10264,10700,2327,4,7,41
1/2/2020,8,morning,winter,32,872,8735,2273,90,369,150,2557,784,24141,11147,10561,2236,24760,11103,11034,2397,4,7,42
1/2/2020,9,morning,winter,33,880,8792,2273,91,456,3243,1188,753,24369,11298,10729,2153,24404,10945,10962,2280,4,7,39
1/2/2020,10,day,winter,34,669,8096,2273,91,432,6647,693,745,23644,11035,10444,1984,23448,10457,10683,2100,4,7,33
1/2/2020,11,day,winter,35,652,7345,2272,90,404,7310,398,748,22753,10566,10134,1877,22600,10014,10429,1958,4,7,32
1/2/2020,12,day,winter,36,650,7406,2272,84,347,8009,586,739,22630,10634,9984,1842,21894,9589,10250,1861,4,7,29
1/2/2020,13,day,winter,37,651,7654,2275,91,326,7679,616,733,22578,10551,10017,1848,21594,9379,10197,1829,4,7,28
1/2/2020,14,day,winter,38,648,7853,2274,92,321,7846,448,735,22717,10448,10179,1929,21674,9349,10271,1867,4,7,28
1/2/2020,15,day,winter,39,657,8207,2273,92,315,7542,333,733,23255,10428,10468,2202,22030,9529,10395,1922,4,7,31
1/2/2020,16,day,winter,40,748,8893,2274,91,313,5615,228,710,23685,10639,10609,2279,22630,9885,10533,2026,4,7,35
1/2/2020,17,day,winter,41,833,10454,2274,90,327,1775,178,705,26749,12093,11838,2647,24039,10705,10946,2199,4,7,42
1/2/2020,18,dusk,winter,42,994,12620,2274,91,408,101,200,703,27355,12374,12104,2702,26637,11860,12025,2556,4,7,64
1/2/2020,19,dusk,winter,43,1056,13050,2273,91,839,57,236,712,27473,12451,12154,2690,27074,11959,12248,2665,4,7,47
1/2/2020,20,dusk,winter,44,1107,13205,2274,91,866,56,152,720,26985,12190,12004,2614,26589,11704,12055,2619,4,7,44
1/2/2020,21,night,winter,45,1045,13287,2272,90,848,17,60,717,26192,11810,11684,2519,25833,11360,11746,2518,4,7,41
1/2/2020,22,night,winter,46,964,13095,2274,90,622,-23,136,721,25044,11246,11247,2375,24646,10849,11226,2366,4,7,40
1/2/2020,23,night,winter,47,932,12507,2268,90,478,-25,118,712,23480,10524,10599,2186,22953,10064,10522,2170,4,7,36
1/2/2020,24,night,winter,48,682,11913,2270,46,302,-24,164,712,21952,9870,9896,2011,21332,9357,9786,1995,4,7,34
1/3/2020,1,night,winter,49,648,11147,2269,46,245,-25,164,720,20827,9356,9383,1915,20399,9063,9204,1939,4,6,30
1/3/2020,2,night,winter,50,649,10684,2267,46,227,-28,200,718,20065,8999,9057,1841,19678,8742,8870,1873,4,6,30
1/3/2020,3,night,winter,51,650,10484,2270,91,215,-28,169,732,19736,8880,8890,1798,19216,8538,8662,1820,4,6,29
1/3/2020,4,night,winter,52,651,10238,2271,46,206,-29,226,749,19815,8936,8915,1796,19153,8529,8620,1806,4,6,29
1/3/2020,5,night,winter,53,651,10286,2271,45,208,-31,137,759,20547,9290,9228,1870,19731,8783,8884,1859,4,6,30
1/3/2020,6,night,winter,54,652,10555,2268,46,265,8,173,762,22035,9973,9873,2031,21279,9465,9580,2021,4,6,32
1/3/2020,7,morning,winter,55,678,11010,2269,90,255,7,185,761,23793,10842,10577,2208,23720,10545,10656,2302,4,6,39
1/3/2020,8,morning,winter,56,825,11670,2269,90,325,193,156,791,24531,11357,10789,2219,24804,11224,11011,2367,4,6,38
1/3/2020,9,morning,winter,57,653,11134,2268,90,389,3147,190,765,24215,11258,10698,2116,24209,10982,10775,2235,4,6,31
1/3/2020,10,day,winter,58,654,9700,2269,90,275,6263,125,762,23385,10829,10446,1983,23250,10411,10573,2060,4,6,30
1/3/2020,11,day,winter,59,654,8522,2268,49,346,7411,136,752,22689,10415,10286,1869,22424,9954,10358,1913,4,6,29
1/3/2020,12,day,winter,60,655,8026,2270,50,375,8533,140,751,22336,10246,10166,1828,21790,9539,10225,1832,4,6,24
1/3/2020,13,day,winter,61,652,8124,2267,51,397,8148,143,741,22090,10046,10079,1876,21454,9331,10131,1802,4,6,22
1/3/2020,14,day,winter,62,652,8064,2267,91,422,8213,141,741,22220,10111,10066,1951,21523,9317,10188,1835,4,6,22
1/3/2020,15,day,winter,63,649,8453,2269,91,407,7603,176,745,22613,10283,10194,2038,21788,9447,10250,1910,4,6,27
1/3/2020,16,day,winter,64,662,9098,2269,91,403,6163,214,744,23518,10650,10561,2212,22438,9835,10406,2016,4,6,30
1/3/2020,17,day,winter,65,766,10177,2266,92,423,2150,192,748,25206,11497,11201,2408,23808,10549,10874,2201,4,6,39
1/3/2020,18,dusk,winter,66,964,12101,2270,91,576,87,218,747,26961,12350,11886,2617,26197,11787,11690,2528,4,6,49
1/3/2020,19,dusk,winter,67,983,12330,2269,91,1141,14,301,763,26975,12357,11902,2605,26434,11804,11833,2604,4,6,41
1/3/2020,20,dusk,winter,68,940,12143,2268,91,1047,14,327,761,26460,12092,11719,2535,25758,11443,11574,2546,4,6,38
1/3/2020,21,night,winter,69,924,12201,2267,90,722,-27,343,769,25797,11753,11469,2457,24951,11059,11242,2454,4,6,37
1/3/2020,22,night,winter,70,742,12090,2265,91,496,-27,307,758,24850,11280,11118,2333,23947,10581,10834,2337,4,6,35
1/3/2020,23,night,winter,71,672,12304,2266,90,440,-29,264,759,23441,10610,10538,2171,22581,9955,10266,2185,4,6,32
1/3/2020,24,night,winter,72,651,11330,2267,46,386,-28,178,761,22026,9956,9927,2024,21248,9350,9678,2030,4,6,30
1/4/2020,1,night,winter,73,650,10299,2269,90,364,-28,194,763,20950,9491,9411,1930,20284,8815,9354,1944,4,6,33
1/4/2020,2,night,winter,74,651,9070,2267,91,370,-29,362,731,20145,9119,9059,1852,19443,8444,8961,1877,4,6,31
1/4/2020,3,night,winter,75,652,8509,2269,91,359,-28,405,740,19673,8908,8848,1799,18959,8270,8703,1825,4,6,31
1/4/2020,4,night,winter,76,653,7734,2270,90,352,-32,383,744,19538,8839,8793,1785,18743,8190,8588,1803,4,6,31
1/4/2020,5,night,winter,77,650,7734,2270,90,349,-32,494,742,19825,8953,8930,1815,18906,8262,8666,1825,4,6,31
1/4/2020,6,night,winter,78,653,7673,2270,90,351,-32,675,747,20515,9261,9224,1897,19551,8545,8979,1879,4,6,33
1/4/2020,7,morning,winter,79,657,7786,2272,90,351,-33,986,751,21407,9730,9539,2001,20614,8980,9477,2000,4,6,37
1/4/2020,8,morning,winter,80,659,7592,2271,90,436,166,1465,754,21784,10084,9571,1994,21061,9377,9470,2017,4,6,33
1/4/2020,9,morning,winter,81,656,6205,2272,90,440,3418,1473,753,21621,10157,9453,1886,20883,9442,9291,1958,4,6,30
1/4/2020,10,day,winter,82,657,4511,2271,90,357,7239,1569,753,21007,9952,9184,1756,20464,9337,9099,1846,4,6,25
1/4/2020,11,day,winter,83,662,4283,2272,90,377,8121,1502,745,20480,9811,8916,1645,19817,9031,8907,1707,4,6,21
1/4/2020,12,day,winter,84,662,4520,2272,91,354,8278,1374,747,19981,9492,8794,1591,19284,8758,8764,1597,4,6,18
1/4/2020,13,day,winter,85,661,4347,2272,90,319,8191,1514,738,19889,9478,8712,1598,18924,8529,8697,1544,4,6,17
1/4/2020,14,day,winter,86,660,4769,2272,90,313,8047,1825,740,20281,9743,8770,1671,18878,8518,8674,1530,4,6,17
1/4/2020,15,day,winter,87,657,4855,2272,90,305,7427,1866,742,20699,9794,8995,1819,19104,8622,8747,1587,4,6,22
1/4/2020,16,day,winter,88,658,6043,2272,90,329,6300,1809,745,21575,10070,9382,2030,19948,8986,9095,1716,4,6,30
1/4/2020,17,day,winter,89,664,7470,2272,90,354,1970,1775,747,23256,10797,10092,2267,21619,9784,9757,1926,4,6,36
1/4/2020,18,dusk,winter,90,839,8575,2272,91,488,44,2093,755,25239,11696,10925,2513,24550,11137,10960,2290,4,6,39
1/4/2020,19,dusk,winter,91,933,9273,2271,90,1091,-13,1974,792,25423,11814,10979,2524,24985,11233,11146,2438,4,6,40
1/4/2020,20,dusk,winter,92,913,9320,2271,90,1036,-14,1871,790,24981,11613,10788,2471,24494,10940,10973,2414,4,6,39
1/4/2020,21,night,winter,93,880,9650,2272,90,896,-14,1670,793,24579,11331,10741,2397,23807,10594,10708,2335,4,6,38
1/4/2020,22,night,winter,94,663,10188,2272,90,722,-14,1356,792,23808,10918,10489,2291,22988,10237,10339,2243,4,6,37
1/4/2020,23,night,winter,95,656,10353,2271,90,782,-27,1032,792,22589,10356,9988,2137,21908,9737,9906,2103,4,6,34
1/4/2020,24,night,winter,96,657,9758,2273,90,426,-28,760,787,21388,9793,9484,2000,20732,9249,9347,1969,4,6,33
1/5/2020,1,night,winter,97,656,9201,2273,90,386,-27,1243,789,20364,9333,9013,1903,20599,9268,9266,1956,4,6,34
1/5/2020,2,night,winter,98,656,8780,2271,46,245,-30,1177,794,19675,9039,8690,1832,19747,8864,8894,1884,4,6,31
1/5/2020,3,night,winter,99,657,8448,2274,90,229,-29,1829,786,19466,9084,8486,1778,19151,8586,8639,1819,4,6,31
1/5/2020,4,night,winter,100,716,8126,2274,90,227,-32,1667,794,19300,9002,8414,1760,18876,8493,8490,1783,4,6,30
1/5/2020,5,night,winter,101,739,7985,2274,90,226,-32,1814,796,19493,9086,8489,1786,18868,8484,8470,1800,4,6,30
1/5/2020,6,night,winter,102,741,8478,2273,90,232,-32,1416,797,19968,9284,8695,1855,19225,8664,8589,1850,4,6,31
1/5/2020,7,morning,winter,103,742,7630,2274,91,241,-34,2492,758,20485,9476,8931,1939,19962,9083,8815,1935,4,6,34
1/5/2020,8,morning,winter,104,740,7896,2274,91,316,174,2527,756,20867,9873,8916,1937,20351,9442,8832,1946,4,6,32
1/5/2020,9,morning,winter,105,678,6992,2273,91,326,2591,2851,750,20808,10019,8826,1832,20167,9436,8699,1891,4,6,30
1/5/2020,10,day,winter,106,664,4155,2274,90,319,5444,2489,751,20346,9903,8641,1683,19585,9182,8508,1770,4,6,24
1/5/2020,11,day,winter,107,663,4471,2273,90,319,7449,2514,749,19895,9784,8442,1558,18860,8757,8344,1644,4,6,18
1/5/2020,12,day,winter,108,660,3901,2274,90,304,8292,2546,745,19500,9558,8334,1502,18339,8420,8255,1567,4,6,17
1/5/2020,13,day,winter,109,662,3922,2273,90,296,8163,2547,738,19416,9468,8323,1522,18203,8280,8259,1572,4,6,16
1/5/2020,14,day,winter,110,661,3680,2274,91,283,8450,2542,740,19569,9394,8472,1606,18289,8294,8306,1594,4,6,15
1/5/2020,15,day,winter,111,660,3563,2274,47,280,7210,2360,741,20016,9496,8649,1775,18883,8595,8491,1696,4,6,17
1/5/2020,16,day,winter,112,659,4690,2274,46,279,5762,2593,743,21118,9963,9047,2010,19890,9107,8857,1829,4,6,28
1/5/2020,17,day,winter,113,658,6427,2273,91,296,1859,2636,742,23200,10900,9892,2301,21795,10086,9556,2054,4,6,35
1/5/2020,18,dusk,winter,114,657,8670,2274,91,332,17,2696,751,25485,11936,10873,2560,24895,11471,10860,2457,4,6,38
1/5/2020,19,dusk,winter,115,657,9623,2274,91,892,-28,2073,793,25906,12131,11077,2583,25606,11815,11116,2566,4,6,37
1/5/2020,20,dusk,winter,116,657,10380,2274,90,992,-28,1161,790,25592,11937,11010,2526,25307,11684,10997,2514,4,6,37
1/5/2020,21,night,winter,117,656,10635,2274,90,715,-28,881,798,24957,11587,10810,2431,24651,11387,10745,2406,4,6,36
1/5/2020,22,night,winter,118,655,10532,2277,90,626,-29,656,788,23894,11031,10455,2291,23668,10941,10328,2287,4,6,36
1/5/2020,23,night,winter,119,656,10519,2275,90,519,-29,604,785,22334,10241,9862,2111,22270,10208,9821,2128,4,6,34
1/5/2020,24,night,winter,120,656,10008,2274,90,254,-29,620,790,20952,9571,9302,1958,20798,9494,9211,1982,4,6,30
1/6/2020,1,night,winter,121,656,9712,2276,90,207,-29,650,787,20095,9206,8895,1882,20205,9421,8795,1882,4,6,30
1/6/2020,2,night,winter,122,655,9363,2275,90,208,-33,667,792,19540,8955,8637,1824,19471,9034,8506,1827,4,6,29
1/6/2020,3,night,winter,123,656,9084,2277,90,204,-33,596,798,19264,8857,8483,1794,19131,8870,8363,1791,4,6,28
1/6/2020,4,night,winter,124,656,8976,2274,90,190,-36,646,790,19390,8925,8529,1810,19183,8913,8374,1786,4,6,28
1/6/2020,5,night,winter,125,657,9402,2274,91,194,-35,609,793,20298,9376,8876,1912,19902,9246,8687,1847,4,6,30
1/6/2020,6,night,winter,126,659,9968,2275,46,217,-36,541,796,22147,10224,9656,2120,21637,10039,9452,2021,4,6,36
1/6/2020,7,morning,winter,127,771,10994,2276,46,250,-36,563,794,24487,11393,10572,2360,24384,11337,10590,2321,4,6,46
1/6/2020,8,morning,winter,128,969,11852,2276,90,494,160,546,793,25481,12044,10903,2386,25688,12152,11017,2382,4,6,44
1/6/2020,9,morning,winter,129,1004,11069,2276,91,373,3486,431,795,24872,11811,10712,2219,25176,11790,11011,2249,4,6,40
1/6/2020,10,day,winter,130,684,9160,2276,48,341,6586,551,788,23690,11265,10265,2043,24220,11181,10850,2072,4,6,29
1/6/2020,11,day,winter,131,659,8585,2275,91,312,7743,525,788,22848,10788,10019,1932,23407,10640,10710,1944,4,6,28
1/6/2020,12,day,winter,132,659,8350,2276,90,296,7936,299,776,22539,10690,9881,1866,22800,10207,10609,1873,4,6,27
1/6/2020,13,day,winter,133,659,9138,2274,91,275,8309,383,776,22491,10692,9820,1884,22565,9979,10584,1894,4,6,23
1/6/2020,14,day,winter,134,660,8987,2274,91,273,8521,172,769,22447,10445,9944,1965,22743,10045,10665,1927,4,6,23
1/6/2020,15,day,winter,135,661,8648,2274,91,264,8102,158,770,22647,10277,10171,2106,23116,10217,10782,2019,4,6,26
1/6/2020,16,day,winter,136,660,9590,2275,91,271,6815,149,770,23770,10793,10581,2299,23683,10509,10919,2156,4,6,36
1/6/2020,17,day,winter,137,711,12143,2272,90,301,2693,116,777,25636,11725,11272,2529,25178,11407,11331,2337,4,6,48
1/6/2020,18,dusk,winter,138,757,13938,2275,91,371,55,134,815,27575,12735,11998,2725,27867,12644,12455,2660,4,6,69
1/6/2020,19,dusk,winter,139,788,14511,2275,91,741,-22,187,819,27712,12907,11977,2709,28364,12969,12562,2721,4,6,49
1/6/2020,20,dusk,winter,140,773,14428,2275,91,888,-23,164,800,27146,12659,11732,2621,27851,12797,12298,2643,4,6,49
1/6/2020,21,night,winter,141,755,14051,2276,90,447,-23,176,799,26271,12242,11385,2505,27037,12475,11919,2532,4,6,45
1/6/2020,22,night,winter,142,760,13729,2273,90,409,-23,237,824,24887,11561,10845,2345,25707,11877,11321,2400,4,6,40
1/6/2020,23,night,winter,143,754,13095,2271,90,368,-23,275,801,23099,10668,10149,2147,23864,11042,10526,2190,4,6,37
1/6/2020,24,night,winter,144,743,11993,2274,91,272,-23,319,795,21553,9941,9500,1982,22207,10251,9834,2017,4,6,34
1/7/2020,1,night,winter,145,670,11225,2272,90,230,-23,276,797,20591,9541,9018,1902,20956,9593,9303,1950,4,6,31
1/7/2020,2,night,winter,146,657,10702,2271,90,228,-28,285,797,19951,9256,8727,1839,20221,9272,8948,1881,4,6,29
1/7/2020,3,night,winter,147,656,10181,2273,90,208,-28,322,793,19641,9121,8586,1801,19809,9149,8693,1838,4,6,29
1/7/2020,4,night,winter,148,658,10004,2274,90,207,-34,364,793,19766,9186,8637,1811,19675,9107,8611,1835,4,6,29
1/7/2020,5,night,winter,149,660,10111,2272,90,213,-33,361,792,20666,9595,9026,1900,20256,9401,8823,1904,4,6,31
1/7/2020,6,night,winter,150,659,10517,2273,90,223,-32,358,796,22584,10494,9830,2101,21852,10093,9539,2080,4,6,35
1/7/2020,7,morning,winter,151,731,12000,2272,47,249,-33,382,796,24903,11679,10723,2336,24554,11376,10648,2368,4,6,41
1/7/2020,8,morning,winter,152,1087,13280,2273,91,323,124,382,794,25824,12349,10954,2355,25646,12098,10967,2433,4,6,41
1/7/2020,9,morning,winter,153,1036,12090,2272,90,337,3476,291,797,25282,12183,10724,2209,25307,11776,11099,2298,4,6,35
1/7/2020,10,day,winter,154,685,10021,2274,91,327,6245,274,798,24411,11762,10458,2035,24349,11236,10852,2138,4,6,30
1/7/2020,11,day,winter,155,660,9426,2271,90,345,6980,214,784,23633,11323,10234,1926,23457,10691,10631,2019,4,6,26
1/7/2020,12,day,winter,156,663,9009,2271,90,308,7612,208,773,23110,10967,10126,1876,22794,10270,10481,1934,4,6,26
1/7/2020,13,day,winter,157,666,9190,2274,91,299,7109,241,772,23024,10828,10173,1885,22550,10067,10450,1927,4,6,25
1/7/2020,14,day,winter,158,665,9160,2275,91,309,6844,195,768,23160,10726,10349,1952,22681,10089,10547,1947,4,6,26
1/7/2020,15,day,winter,159,663,9705,2272,47,287,5596,183,770,23496,10789,10504,2079,23033,10217,10691,2028,4,6,28
1/7/2020,16,day,winter,160,662,11153,2270,91,273,3873,235,771,24354,11262,10726,2244,23744,10598,10894,2156,4,6,33
1/7/2020,17,day,winter,161,670,12537,2271,91,290,1627,363,786,25910,12086,11214,2485,25093,11319,11327,2345,4,6,36
1/7/2020,18,dusk,winter,162,860,13877,2270,91,335,16,537,780,27781,13005,11947,2705,27809,12631,12397,2670,4,6,41
1/7/2020,19,dusk,winter,163,1056,14075,2272,91,908,-23,927,794,27950,13153,11965,2708,28300,12908,12528,2751,4,6,43
1/7/2020,20,dusk,winter,164,926,13806,2271,91,624,-23,1416,801,27422,12904,11756,2634,27786,12665,12311,2698,4,6,40
1/7/2020,21,night,winter,165,894,14014,2274,91,513,-23,1458,796,26529,12421,11449,2529,26944,12270,11956,2588,4,6,38
1/7/2020,22,night,winter,166,670,13269,2273,90,335,-23,1796,789,25110,11681,10916,2386,25654,11683,11446,2413,4,6,36
1/7/2020,23,night,winter,167,656,12019,2270,90,303,-25,1850,794,23268,10747,10221,2176,23758,10771,10678,2194,4,6,33
1/7/2020,24,night,winter,168,657,11099,2275,90,252,-24,1129,759,21654,9958,9552,2018,22063,10000,9931,2010,4,6,31
1/8/2020,1,night,winter,169,657,9701,2275,91,220,-24,1498,775,20640,9502,9062,1956,20653,9470,9096,1964,4,6,30
1/8/2020,2,night,winter,170,658,7728,2270,90,211,-26,2669,786,19991,9180,8766,1925,19904,9128,8753,1904,4,6,29
1/8/2020,3,night,winter,171,658,7116,2271,90,190,-26,3332,787,19659,9022,8618,1899,19463,8938,8546,1856,4,6,28
1/8/2020,4,night,winter,172,659,6517,2273,90,191,-28,3439,788,19740,9068,8649,1901,19396,8927,8514,1838,4,6,28
1/8/2020,5,night,winter,173,658,6805,2272,90,194,-29,2943,793,20552,9428,9032,1969,20027,9208,8793,1896,4,6,30
1/8/2020,6,night,winter,174,676,7089,2271,90,219,-29,2936,793,22366,10256,9814,2175,21651,9895,9544,2068,4,6,35
1/8/2020,7,morning,winter,175,691,7954,2273,91,236,-30,3545,791,24661,11388,10719,2427,24231,11031,10688,2360,4,6,39
1/8/2020,8,morning,winter,176,740,9741,2273,90,238,139,3048,801,25708,12100,10999,2470,25558,11941,11033,2437,4,6,39
1/8/2020,9,morning,winter,177,747,9120,2273,90,399,2936,2637,795,25371,12064,10830,2343,25172,11823,10893,2325,4,6,35
